action_id,loan_id,customer_id,collector_id,action_date,action_type,action_result,promise_to_pay_date,promise_amount,next_follow_up_date
A00000001,L000005,C01137,CL025,2025-12-08,Call,No Answer,,,2025-12-15
A00000002,L000005,C01137,CL019,2025-12-15,SMS,Paid,,,2025-12-24
A00000003,L000005,C01137,CL029,2025-11-06,Email,No Answer,,,2025-11-14
A00000004,L000005,C01137,CL030,2025-11-15,Call,Paid,,,2025-11-16
A00000005,L000005,C01137,CL019,2025-11-19,Field Visit,Paid,,,2025-11-29
A00000006,L000005,C01137,CL024,2025-11-23,Call,Rescheduled,,,2025-11-30
A00000007,L000005,C01137,CL025,2025-11-05,Call,No Answer,,,2025-11-07
A00000008,L000015,C01948,CL011,2025-12-07,Field Visit,No Answer,,,2025-12-14
A00000009,L000015,C01948,CL007,2025-12-03,Call,Paid,,,2025-12-09
A00000010,L000017,C00865,CL019,2025-09-09,Email,Rescheduled,,,2025-09-11
A00000011,L000017,C00865,CL027,2025-08-25,Call,Promise to Pay,2025-08-27,444799,2025-09-04
A00000012,L000017,C00865,CL042,2025-10-04,Push,No Answer,,,2025-10-07
A00000013,L000017,C00865,CL038,2025-08-02,Email,Refused,,,2025-08-06
A00000014,L000021,C00241,CL028,2025-11-24,Call,Rescheduled,,,2025-11-27
A00000015,L000021,C00241,CL025,2025-11-17,Email,Promise to Pay,2025-11-27,115984,2025-11-18
A00000016,L000021,C00241,CL022,2025-10-31,SMS,No Answer,,,2025-11-02
A00000017,L000021,C00241,CL028,2025-11-03,Email,No Answer,,,2025-11-04
A00000018,L000024,C01733,CL022,2025-12-14,SMS,Refused,,,2025-12-23
A00000019,L000024,C01733,CL024,2025-12-21,Call,Refused,,,2025-12-28
A00000020,L000024,C01733,CL030,2025-11-30,Call,No Answer,,,2025-12-03
A00000021,L000024,C01733,CL019,2025-12-11,Push,Paid,,,2025-12-19
A00000022,L000024,C01733,CL030,2025-12-25,SMS,Paid,,,2025-12-28
A00000023,L000024,C01733,CL027,2025-12-18,SMS,Rescheduled,,,2025-12-19
A00000024,L000024,C01733,CL027,2025-11-14,SMS,No Answer,,,2025-11-21
A00000025,L000026,C01559,CL010,2025-11-30,Email,Promise to Pay,2025-12-01,1887137,2025-12-04
A00000026,L000026,C01559,CL009,2025-11-30,Email,Promise to Pay,2025-12-03,4037808,2025-12-03
A00000027,L000026,C01559,CL014,2025-12-10,Call,No Answer,,,2025-12-11
A00000028,L000026,C01559,CL007,2025-11-28,SMS,No Answer,,,2025-12-02
A00000029,L000026,C01559,CL001,2025-12-13,Push,Refused,,,2025-12-21
A00000030,L000031,C00128,CL028,2025-11-03,Email,No Answer,,,2025-11-11
