loan_id,customer_id,issue_date,due_date,loan_amount,outstanding_amount,overdue_amount,days_past_due,loan_status,product_type,interest_rate,term_months,monthly_payment,risk_score,currency
L000001,C00895,2024-12-28,2025-03-28,12924129,2166068,0,0,Active,Credit card,41.83,3,6110097.39,687,UZS
L000002,C00601,2025-11-20,2026-02-18,28390584,0,0,0,Closed,Credit card,28.22,3,12134135.6,528,UZS
L000003,C00382,2024-11-02,2025-05-01,3427339,802024,0,0,Active,Microloan,33.28,6,761326.24,488,UZS
L000004,C01591,2025-05-03,2026-04-28,15159629,3563203,0,0,Active,Installment,45.39,12,1836715.38,556,UZS
L000005,C01137,2024-03-12,2025-03-07,5358354,3725354,757965,57,Overdue,Credit card,38.74,12,619515.03,655,UZS
L000006,C00169,2024-10-20,2026-04-13,12323103,0,0,0,Closed,Credit card,26.04,18,862891.06,845,UZS
L000007,C01101,2024-12-09,2027-11-24,16178209,13720333,0,0,Active,Cash loan,25.97,36,566102.5,743,UZS
L000008,C01202,2025-01-13,2027-01-03,30255069,18641987,0,0,Active,Credit card,26.15,24,1590282.06,454,UZS
L000009,C02113,2024-09-29,2024-12-28,1107807,846616,0,0,Active,Installment,33.56,3,493195.68,566,UZS
L000010,C01098,2025-02-04,2027-01-25,21691639,5754377,0,0,Active,Cash loan,34.81,24,1218437.44,637,UZS
L000011,C01073,2024-02-21,2024-11-17,23310118,19047601,0,0,Active,Credit card,34.54,9,3484603.64,853,UZS
L000012,C01130,2024-02-22,2025-02-16,28177667,0,0,0,Closed,Cash loan,30.43,12,3062677.59,681,UZS
L000013,C01703,2025-02-28,2028-02-13,34363584,0,0,0,Closed,Cash loan,43.63,36,1371011.55,599,UZS
L000014,C00276,2024-10-31,2026-10-21,18430427,14814134,0,0,Active,Installment,25.58,24,964372.09,714,UZS
L000015,C01948,2024-06-19,2025-12-11,4837104,2433252,588147,23,Overdue,Microloan,31.89,18,354425.36,607,UZS
L000016,C01755,2024-02-07,2024-08-05,19641565,9080005,0,0,Active,Cash loan,32.56,6,4339476.43,668,UZS
L000017,C00865,2025-02-18,2026-02-13,11069355,9334466,4373990,151,Overdue,Cash loan,40.51,12,1296129.23,456,UZS
L000018,C01852,2025-06-03,2026-05-29,8315872,0,0,0,Closed,Installment,31.29,12,909825.7,535,UZS
L000019,C00841,2024-07-28,2025-04-24,24366487,11237419,0,0,Active,Installment,31.6,9,3562921.88,766,UZS
L000020,C01290,2025-10-14,2026-07-11,23367483,0,0,0,Closed,Credit card,38.67,9,3600409.85,742,UZS
L000021,C00241,2025-07-28,2026-07-23,8217680,4779019,944886,66,Overdue,Cash loan,44.34,12,988449.94,723,UZS
