payment_id,loan_id,customer_id,payment_date,payment_amount,payment_type,payment_channel,currency
P0000001,L000001,C00895,2025-07-03,1711121,Regular,Mobile App,UZS
P0000002,L000001,C00895,2025-05-05,2618863,Full repayment,Bank Transfer,UZS
P0000003,L000001,C00895,2025-04-30,752332,Regular,Terminal,UZS
P0000004,L000001,C00895,2025-10-23,2960329,Full repayment,Mobile App,UZS
P0000005,L000001,C00895,2025-10-16,1703594,Partial,Bank Transfer,UZS
P0000006,L000002,C00601,2025-12-19,13228189,Full repayment,Branch,UZS
P0000007,L000003,C00382,2025-08-08,311259,Regular,Bank Transfer,UZS
P0000008,L000003,C00382,2024-11-22,536535,Partial,Bank Transfer,UZS
P0000009,L000003,C00382,2025-08-04,412842,Partial,Terminal,UZS
P0000010,L000003,C00382,2025-01-01,134056,Regular,Mobile App,UZS
P0000011,L000003,C00382,2025-08-16,147167,Regular,Terminal,UZS
P0000012,L000003,C00382,2025-09-23,213332,Partial,Mobile App,UZS
P0000013,L000003,C00382,2025-05-20,412436,Regular,Mobile App,UZS
P0000014,L000003,C00382,2025-10-01,646481,Regular,Branch,UZS
P0000015,L000003,C00382,2025-08-07,360192,Regular,Terminal,UZS
P0000016,L000003,C00382,2025-07-24,292686,Regular,Mobile App,UZS
P0000017,L000003,C00382,2025-05-08,798511,Partial,Branch,UZS
P0000018,L000003,C00382,2025-09-05,553682,Regular,Mobile App,UZS
P0000019,L000003,C00382,2025-03-12,102860,Regular,Terminal,UZS
P0000020,L000004,C01591,2025-08-23,1907931,Regular,Terminal,UZS
P0000021,L000004,C01591,2025-09-20,844171,Regular,Mobile App,UZS
P0000022,L000006,C00169,2025-09-20,589133,Partial,Bank Transfer,UZS
P0000023,L000006,C00169,2024-12-20,302476,Partial,Mobile App,UZS
P0000024,L000006,C00169,2025-04-09,359247,Regular,Terminal,UZS
P0000025,L000006,C00169,2025-03-15,833028,Regular,Mobile App,UZS
P0000026,L000006,C00169,2024-11-24,193677,Regular,Mobile App,UZS
P0000027,L000007,C01101,2025-11-05,184310,Regular,Mobile App,UZS
P0000028,L000007,C01101,2025-09-19,312119,Regular,Mobile App,UZS
P0000029,L000007,C01101,2025-09-01,212615,Regular,Mobile App,UZS
P0000030,L000007,C01101,2025-10-19,107007,Regular,Mobile App,UZS
P0000031,L000008,C01202,2025-07-30,907197,Regular,Mobile App,UZS
P0000032,L000008,C01202,2025-05-09,501586,Partial,Branch,UZS
P0000033,L000009,C02113,2025-08-26,199610,Partial,Terminal,UZS
P0000034,L000009,C02113,2024-10-26,146391,Regular,Terminal,UZS
P0000035,L000010,C01098,2025-10-07,930392,Regular,Bank Transfer,UZS
P0000036,L000010,C01098,2025-04-28,710464,Regular,Terminal,UZS
P0000037,L000011,C01073,2025-07-03,566324,Regular,Terminal,UZS
P0000038,L000011,C01073,2025-01-19,832528,Regular,Bank Transfer,UZS
P0000039,L000011,C01073,2024-09-02,4179425,Regular,Bank Transfer,UZS
